         17039216 function calls (16064202 primitive calls) in 117.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2838/330    0.002    0.000    0.161    0.000 file.py:389(get_node)
      106    0.000    0.000    0.159    0.002 __init__.py:109(import_module)
      106    0.000    0.000    0.159    0.002 <frozen importlib._bootstrap>:1018(_gcd_import)
      330    0.001    0.000    0.159    0.000 group.py:1125(_g_load_child)
        1    0.000    0.000    0.159    0.159 _axes.py:1(<module>)
        4    0.000    0.000    0.157    0.039 functional.py:1(<module>)
    39192    0.147    0.000    0.147    0.000 {method 'new_ones' of 'torch._C._TensorBase' objects}
    17507    0.031    0.000    0.143    0.000 fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.140    0.140 contour.py:1(<module>)
     9431    0.003    0.000    0.133    0.000 inspect.py:3111(signature)
        1    0.000    0.000    0.132    0.132 fitting.py:3(<module>)
     9431    0.003    0.000    0.129    0.000 inspect.py:2859(from_callable)
      330    0.001    0.000    0.129    0.000 node.py:182(__init__)
      330    0.000    0.000    0.129    0.000 group.py:789(__getattr__)
      330    0.001    0.000    0.128    0.000 group.py:668(_f_get_child)
9877/9441    0.020    0.000    0.127    0.000 inspect.py:2246(_signature_from_callable)
       66    0.000    0.000    0.120    0.002 pytables.py:546(__init__)
      353    0.120    0.000    0.120    0.000 {built-in method posix.listdir}
     6853    0.010    0.000    0.119    0.000 <__array_function__ internals>:177(any)
    78384    0.119    0.000    0.119    0.000 {built-in method torch.dropout}
      169    0.000    0.000    0.119    0.001 introspection.py:172(find_current_module)
      373    0.006    0.000    0.118    0.000 inspect.py:727(getmodule)
      177    0.000    0.000    0.118    0.001 introspection.py:282(_get_module_from_frame)
      198    0.002    0.000    0.118    0.001 pytables.py:2993(read_index_node)
        1    0.000    0.000    0.118    0.118 widget.py:5(<module>)
      336    0.002    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
        1    0.000    0.000    0.114    0.114 backend_bases.py:1(<module>)
        7    0.000    0.000    0.113    0.016 core.py:3(<module>)
    12106    0.008    0.000    0.113    0.000 re.py:289(_compile)
    39192    0.110    0.000    0.110    0.000 {built-in method torch.sqrt}
     2574    0.001    0.000    0.110    0.000 utils.py:221(newfget)
      396    0.000    0.000    0.109    0.000 node.py:149(_v_attrs)
        4    0.000    0.000    0.109    0.027 client.py:1(<module>)
      396    0.004    0.000    0.109    0.000 attributeset.py:189(__init__)
       48    0.000    0.000    0.108    0.002 configuration.py:250(__init__)
        2    0.000    0.000    0.106    0.053 __init__.py:25(<module>)
106455/105793    0.030    0.000    0.105    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.105    0.052 connect.py:1(<module>)
    12374    0.105    0.000    0.105    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.105    0.105 collections.py:1(<module>)
    18381    0.103    0.000    0.103    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      531    0.002    0.000    0.100    0.000 sre_compile.py:783(compile)
    10601    0.003    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.095    0.095 spline.py:3(<module>)
     6853    0.009    0.000    0.094    0.000 fromnumeric.py:2307(any)
      264    0.001    0.000    0.093    0.000 array.py:115(__init__)
     3168    0.007    0.000    0.092    0.000 attributeset.py:278(__getattr__)
      264    0.000    0.000    0.092    0.000 leaf.py:225(__init__)
     4000    0.007    0.000    0.091    0.000 artist.py:1388(get_valid_values)
        2    0.000    0.000    0.091    0.046 generic.py:1(<module>)
   313627    0.064    0.000    0.091    0.000 container.py:213(__len__)
668375/665901    0.079    0.000    0.089    0.000 {built-in method builtins.isinstance}
     6532    0.006    0.000    0.088    0.000 <__array_function__ internals>:177(repeat)
